O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
13-1041.00,3.3859999999999997,3.0316666666666667,2.325,2.388333333333333,3.146,2.5176923076923075,Compliance Officers
13-1041.01,3.432666666666667,3.1,2.425,2.2716666666666665,3.104,2.793846153846154,Environmental Compliance Inspectors
13-1041.03,3.36,3.1950000000000003,2.16,1.3183333333333334,2.9859999999999998,2.6484615384615386,Equal Opportunity Representatives and Officers
13-1041.04,3.2800000000000002,3.4299999999999997,2.55,2.1516666666666664,2.852,2.8000000000000003,Government Property Inspectors and Investigators
13-1041.06,3.871333333333333,3.78,2.775,3.0533333333333332,4.032,3.4046153846153837,Coroners
13-1041.07,3.562,3.5316666666666667,2.585,1.3449999999999998,2.7279999999999998,3.1184615384615384,Regulatory Affairs Specialists
13-1041.08,3.6586666666666665,3.3516666666666666,2.185,1.4583333333333333,3.4199999999999995,3.306923076923077,Customs Brokers
13-1051.00,3.7966666666666673,3.2883333333333336,2.775,1.2899999999999998,2.694,2.9423076923076925,Cost Estimators
13-1071.00,3.2706666666666666,3.456666666666667,2.175,1.4933333333333334,3.4620000000000006,3.209230769230769,Human Resources Specialists
13-1074.00,3.1646666666666663,3.5600000000000005,2.445,2.935,3.268,3.3492307692307692,Farm Labor Contractors
13-1075.00,3.122,3.451666666666666,2.225,1.36,2.972,3.0976923076923075,Labor Relations Specialists
13-1081.00,3.5479999999999996,3.7983333333333333,2.64,1.8349999999999997,3.0739999999999994,3.6569230769230767,Logisticians
13-1081.01,3.679333333333333,3.5416666666666665,3.305,1.9266666666666667,2.816,3.1400000000000006,Logistics Engineers
13-1081.02,3.622666666666667,3.385,2.635,1.8316666666666663,2.904,3.012307692307693,Logistics Analysts
13-1082.00,3.6013333333333333,3.8783333333333334,2.635,1.6066666666666667,2.63,3.2592307692307694,Project Management Specialists
13-1111.00,3.734,3.803333333333334,2.83,1.5383333333333333,3.47,3.553076923076923,Management Analysts
13-1121.00,3.5439999999999996,4.06,3.135,2.6933333333333334,3.654,3.6576923076923076,"Meeting, Convention, and Event Planners"
13-1131.00,3.4793333333333334,3.7083333333333335,2.74,1.593333333333333,3.5460000000000003,3.5907692307692307,Fundraisers
13-1141.00,3.333333333333333,3.081666666666667,2.34,1.485,2.762,2.842307692307692,"Compensation, Benefits, and Job Analysis Specialists"
13-1151.00,3.4986666666666664,3.5250000000000004,2.825,1.6866666666666668,3.7159999999999997,3.4384615384615382,Training and Development Specialists
13-1161.00,3.798666666666667,3.2183333333333333,2.425,1.2583333333333333,2.484,2.7015384615384614,Market Research Analysts and Marketing Specialists
13-1161.01,3.7686666666666664,3.361666666666667,2.875,1.2333333333333332,2.7199999999999998,3.012307692307692,Search Marketing Strategists
13-1199.04,3.534,3.4116666666666666,2.665,1.3283333333333334,2.952,3.19,Business Continuity Planners
13-1199.05,3.512666666666666,3.5849999999999995,2.89,1.5516666666666667,3.282,3.3946153846153844,Sustainability Specialists
13-1199.06,3.2593333333333327,3.03,2.4299999999999997,1.6533333333333335,2.57,2.7361538461538464,Online Merchants
13-1199.07,3.6533333333333333,3.785,3.475,2.0,3.594,3.610769230769231,Security Management Specialists
13-2011.00,3.5346666666666664,3.1999999999999997,2.055,1.47,2.9219999999999997,2.803076923076923,Accountants and Auditors
13-2022.00,3.845333333333334,3.2249999999999996,2.3899999999999997,2.035,2.808,2.718461538461538,Appraisers of Personal and Business Property
13-2023.00,3.600666666666667,2.761666666666667,2.355,1.9649999999999999,2.61,2.4099999999999997,Appraisers and Assessors of Real Estate
13-2031.00,3.3280000000000003,2.9566666666666666,2.33,1.5083333333333335,2.268,2.2469230769230775,Budget Analysts
13-2041.00,3.4440000000000004,2.546666666666667,1.875,1.175,2.4099999999999997,2.471538461538462,Credit Analysts
13-2052.00,3.7353333333333327,3.2733333333333334,2.215,1.0850000000000002,3.4219999999999997,3.003076923076923,Personal Financial Advisors
13-2053.00,3.413333333333333,2.8666666666666667,2.0,1.2883333333333333,2.456,2.706153846153846,Insurance Underwriters
13-2061.00,3.448666666666667,3.18,1.7600000000000002,1.2466666666666666,2.66,3.081538461538462,Financial Examiners
13-2071.00,3.322666666666667,3.2983333333333333,2.33,1.4083333333333332,3.7439999999999998,3.0561538461538458,Credit Counselors
13-2072.00,3.416000000000001,3.0399999999999996,2.23,1.4533333333333331,2.678,2.810769230769231,Loan Officers
13-2081.00,3.459333333333333,3.028333333333333,2.0300000000000002,1.59,3.3619999999999997,2.727692307692308,"Tax Examiners and Collectors, and Revenue Agents"
13-2082.00,3.52,2.9683333333333333,1.85,1.5383333333333333,3.0620000000000003,2.450769230769231,Tax Preparers
13-2099.01,3.664666666666667,2.7116666666666664,2.6,1.1666666666666667,2.43,2.7284615384615383,Financial Quantitative Analysts
13-2099.04,3.595333333333333,3.2783333333333338,2.21,1.3399999999999999,3.05,2.886153846153846,"Fraud Examiners, Investigators and Analysts"
15-1211.00,3.741333333333334,3.063333333333333,2.7199999999999998,2.308333333333333,2.518,2.4546153846153844,Computer Systems Analysts
15-1211.01,3.834,3.6733333333333333,3.455,1.741666666666667,3.2660000000000005,3.5038461538461543,Health Informatics Specialists
15-1212.00,3.644,2.9283333333333332,2.755,1.7399999999999995,2.362,2.5992307692307692,Information Security Analysts
